sector,epoch,predicted_bjd,measured_bjd,oc_seconds,timing_error_seconds,n_points,beta,reduced_chi_square,delta_bic,supported
20,1153,2458865.925297853,2458865.924351949,-81.72614656076122,90.11917775232928,324,1.0,0.2170460540464988,746.7868543378079,True
20,1154,2458867.016716754,2458867.016116678,-51.84659235016302,90.13084367814378,324,1.0005038366371328,0.24560005056908932,722.7071545218236,True
20,1155,2458868.108135655,2458868.1075605676,-49.687560246658954,90.09495368118073,315,1.0,0.21979133098578316,690.9854491756564,True
43,1711,2459474.937044611,2459474.934590288,-212.05353216937715,46.13962891278205,325,1.0,1.0676911638420632,2972.6690073362056,True
43,1712,2459476.028463512,2459476.0269965064,-126.74929219122804,69.28599338468075,324,1.557077272807489,0.8820263426508664,2781.4579593378826,True
43,1713,2459477.119882413,2459477.118260807,-140.10678750095386,44.35840125908092,324,1.0,0.7930008505656079,2981.348975016887,True
43,1714,2459478.211301314,2459478.20907521,-192.33536972631973,47.82522260652715,317,1.0815506996990008,0.7998000749821559,2781.519097016756,True
43,1715,2459479.302720215,2459479.3008874296,-158.35266501824614,56.66578599981225,324,1.284268535289652,0.7843484854833672,2992.7126684305827,True
43,1716,2459480.394139116,2459480.39271531,-123.01682880006409,44.58949888241865,324,1.0121117320659638,0.9101945944416745,2875.8125733841734,True
43,1717,2459481.485558017,2459481.483662532,-163.76990087019945,44.07099270322981,324,1.0,0.8652734674694599,2892.4104841149624,True
43,1718,2459482.576976918,2459482.57479613,-188.4201202739602,51.7545390028712,324,1.153218326887038,1.039697801287474,3063.144086864615,True
43,1719,2459483.668395819,2459483.667001681,-120.45355983275589,50.36576002088134,324,1.1393442461187655,0.9084725132419523,2971.4587228729574,True
43,1720,2459484.75981472,2459484.7581614475,-142.8427404830785,45.664863679620225,261,1.0233795398532803,0.8658301571898429,2576.698757420487,True
43,1723,2459488.034071423,2459488.0333181317,-65.08436948116521,46.67702792027941,324,1.0789200632657272,1.0009358193544147,3101.2455066850584,True
43,1724,2459489.125490324,2459489.123088482,-207.519161953539,48.50141637925146,324,1.123499543534837,0.8591093406053186,3095.203898562644,True
43,1725,2459490.216909225,2459490.2151560867,-151.47116913701814,55.41078522246117,324,1.2865089805674645,0.9013080364888745,2964.035305559207,True
43,1726,2459491.308328126,2459491.3063847795,-167.90514226658857,43.25841292866319,324,1.0,1.0125862422047047,3129.736631532991,True
43,1727,2459492.399747027,2459492.3983345134,-122.04119747562598,42.930835788781714,324,1.0,0.9438705674235068,3268.7930980653905,True
43,1728,2459493.491165928,2459493.4891801816,-171.56847866092485,48.80294399115057,324,1.138963215580552,0.9198341891469777,3353.4421236708245,True
43,1729,2459494.582584829,2459494.581073445,-130.5835876925368,61.554494726913575,324,1.4362620637060142,1.001894606068357,2928.836015027842,True
43,1730,2459495.67400373,2459495.67252418,-127.83312506705852,42.78052349272134,324,1.0,0.9926311201970942,3149.2383728297905,True
43,1731,2459496.765422631,2459496.7640129016,-121.80064467968141,52.079869263093116,324,1.2203850534366802,0.9204200179619652,3097.709190306762,True
43,1732,2459497.856841532,2459497.855276678,-135.20337077410994,49.42041839585799,324,1.1588132207889337,0.8573167643582204,3019.016602591451,True
45,1758,2459526.233732958,2459526.232122914,-139.10781245527048,69.82677873916272,271,1.4212926686009755,1.100079369803134,2163.5684372646856,True
45,1759,2459527.325151859,2459527.323387042,-152.4801485096805,49.51645768140462,323,1.1515407746957422,0.9346079223684403,3125.906691802999,True
45,1760,2459528.4165707603,2459528.414978722,-137.55211057034964,42.88275374446306,324,1.0,0.8853524412951252,3212.1078722369257,True
45,1761,2459529.5079896613,2459529.5064273146,-134.98674402904862,44.683226266263446,324,1.025279232748961,1.0325538287983473,3086.8261665307386,True
45,1762,2459530.5994085623,2459530.598348245,-91.61139485646434,44.89428940151451,324,1.0386189848866298,1.013244335820983,3067.5762743095806,True
45,1763,2459531.6908274633,2459531.6896222867,-104.12724781945012,43.16359408459269,318,1.0,1.0104482216215989,2952.292058422816,True
